0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
666.4,347.5,484.2,724.9,304.1,277.1,379.5,320.5,192.1,54.3,0.0,41.9,291.9,164.9,509.0,187.6,166.6,94.8,41.9,471.6,408.6,302.4,284.3,1262.2,1266.1,1430.7,596.7,738.6,700.1,886.4,554.4,685.5,685.5,923.7,899.4,328.0,369.8,415.3,512.7,606.3,655.0,1005.0,1157.9,1056.8,1111.7,1264.4,1228.8,989.8,230.5,288.0,294.2,837.9,887.5,999.2,1051.9,1078.1,1001.9,1200.4,1301.0,1401.9,928.6,1462.8,513.6,744.0,799.2,688.7,621.4,835.9,844.4,878.0,915.0,888.9,859.2,956.6,1212.5,1190.7,1332.1,1448.9,1316.8,1499.7,689.3,536.0,492.5,496.6,571.5,498.0,486.9,488.7,1499.8,1664.7,93.0,192.5,168.9,428.2,365.6
708.3,351.7,488.4,729.1,346.0,319.0,421.4,362.4,234.0,96.2,41.9,0.0,296.1,169.1,513.2,229.5,124.7,53.0,0.0,475.8,412.8,306.5,288.5,1266.4,1270.3,1434.9,600.9,742.7,704.2,890.6,558.5,689.7,689.7,927.9,903.6,332.2,374.0,419.4,516.9,610.5,659.2,1009.2,1162.1,1061.0,1115.9,1268.6,1233.0,994.0,234.6,292.1,298.4,842.1,891.6,1003.4,1056.1,1082.3,1006.1,1204.6,1305.1,1406.1,932.8,1467.0,517.8,748.1,803.4,692.9,625.6,840.1,848.6,882.2,919.1,893.1,863.3,960.7,1216.6,1194.8,1336.2,1453.1,1321.0,1503.9,693.5,540.2,496.7,500.8,575.7,502.2,491.0,492.9,1503.9,1668.9,134.8,234.3,210.8,470.1,407.5
1261.2,55.6,250.2,490.9,596.0,569.0,1100.5,1159.4,484.0,346.2,291.9,296.1,0.0,127.0,275.0,479.5,420.7,349.0,296.1,179.7,116.7,68.4,50.3,1301.8,1297.8,1550.3,362.7,504.6,466.1,652.4,406.0,451.5,451.5,689.7,665.4,94.0,135.8,181.3,278.7,372.3,421.0,771.0,923.9,1176.4,1231.3,1384.0,1348.4,1109.4,350.1,407.6,413.9,957.5,1007.1,1118.8,1171.5,1197.7,1121.6,1320.0,1413.4,1155.3,1048.2,1101.2,279.6,863.6,918.8,808.3,741.0,955.5,964.0,997.6,1034.6,1008.6,978.8,1076.2,978.4,956.6,1098.1,1108.3,1082.8,1057.5,808.9,655.6,612.1,616.2,691.1,206.1,195.0,196.8,1265.7,1430.7,384.8,484.3,460.8,720.1,657.5
1388.2,182.6,319.3,560.0,469.0,442.0,544.4,485.5,357.0,219.2,164.9,169.1,127.0,0.0,344.1,352.5,293.7,222.0,169.1,306.7,243.7,137.5,119.4,1254.8,1258.7,1423.3,431.8,573.7,535.2,721.5,547.0,520.6,520.6,758.8,734.5,163.1,204.9,250.4,347.8,441.4,490.1,840.1,993.0,1049.5,1104.3,1257.0,1221.5,982.4,223.1,280.6,286.9,830.6,880.1,991.8,1044.5,1070.7,994.6,1193.0,1293.6,1224.4,921.2,1170.3,348.7,736.6,791.8,681.3,614.1,828.5,837.1,870.6,907.6,881.6,851.8,949.2,1047.5,1025.7,1167.2,1177.4,1151.9,1126.6,682.0,528.6,485.1,489.2,564.1,333.1,321.9,323.8,1334.8,1499.8,257.9,357.4,333.8,593.1,530.6
1536.2,330.6,403.3,644.0,813.1,786.2,1375.5,1434.5,701.2,563.3,509.0,513.2,275.0,344.1,0.0,696.6,637.9,566.2,513.2,454.7,391.8,269.3,251.2,1454.8,1450.9,1217.6,87.7,657.6,619.1,805.4,130.9,604.6,604.6,842.8,818.5,247.1,288.9,334.3,431.8,525.4,574.1,924.1,1077.0,843.8,898.7,1051.4,1015.8,776.8,567.2,624.7,631.0,624.9,674.4,786.1,838.8,865.0,788.9,987.4,1566.5,1308.4,715.5,1254.2,432.7,530.9,586.2,475.6,408.4,622.8,631.4,664.9,701.9,675.9,646.1,743.5,1131.5,1109.7,1251.1,1261.4,1235.9,1210.6,476.3,322.9,279.5,283.6,358.4,481.2,470.0,471.8,1418.8,1583.8,602.0,701.5,677.9,937.3,874.7
478.8,535.1,671.8,912.5,116.5,89.5,191.9,132.9,4.5,133.3,187.6,229.5,479.5,352.5,696.6,0.0,354.2,282.4,229.5,659.2,596.2,490.0,471.9,1449.8,1453.7,1721.6,784.4,926.2,887.7,1074.0,742.0,873.1,873.1,1111.3,1087.0,515.6,557.5,602.9,700.3,793.9,842.6,1192.6,1345.5,1347.8,1402.7,1445.2,1519.8,1280.7,418.1,475.6,481.9,1025.5,1075.1,1186.8,1239.5,1265.7,1189.6,1388.0,1488.6,1589.5,1116.2,1650.4,701.3,931.6,986.8,876.3,809.0,1023.5,1032.0,1065.6,1102.6,1076.6,1046.8,1144.2,1400.1,1378.3,1519.7,1636.5,1504.4,1687.3,876.9,723.6,680.1,684.2,759.1,685.6,674.5,676.3,1687.4,1852.3,180.1,279.6,256.0,240.6,178.0
832.9,476.3,613.1,853.8,470.6,443.7,546.0,487.1,358.7,220.8,166.6,124.7,420.7,293.7,637.9,354.2,0.0,71.7,124.7,600.4,537.5,431.2,413.2,1391.0,1395.0,1559.5,725.6,867.4,828.9,1015.2,683.2,814.4,814.4,1052.6,1028.2,456.8,498.7,544.1,641.6,735.2,783.9,1133.9,1286.7,1185.7,1240.6,1393.3,1357.7,1118.7,359.3,416.8,423.1,966.8,1016.3,1128.0,1180.7,1206.9,1130.8,1329.3,1429.8,1530.8,1057.4,1591.6,642.5,872.8,928.0,817.5,750.3,964.7,973.3,1006.8,1043.8,1017.8,988.0,1085.4,1341.3,1319.5,1460.9,1577.8,1445.7,1628.5,818.2,664.8,621.4,625.5,700.3,626.9,615.7,617.5,1628.6,1793.5,259.5,359.0,335.5,594.8,532.2
761.2,404.6,541.4,782.1,398.9,372.0,474.3,415.4,287.0,149.1,94.8,53.0,349.0,222.0,566.2,282.4,71.7,0.0,53.0,528.7,465.7,359.5,341.4,1319.3,1323.2,1487.8,653.9,795.7,757.2,943.5,611.5,742.6,742.6,980.9,956.5,385.1,427.0,472.4,569.9,663.4,712.1,1062.2,1215.0,1114.0,1168.8,1321.5,1286.0,1046.9,287.6,345.1,351.4,895.1,944.6,1056.3,1109.0,1135.2,1059.1,1257.5,1358.1,1459.0,985.7,1519.9,570.8,801.1,856.3,745.8,678.6,893.0,901.6,935.1,972.1,946.1,916.3,1013.7,1269.6,1247.8,1389.2,1506.0,1373.9,1556.8,746.5,593.1,549.6,553.7,628.6,555.1,544.0,545.8,1556.9,1721.8,187.8,287.3,263.7,523.0,460.5
708.3,351.7,488.4,729.1,346.0,319.0,421.4,362.4,234.0,96.2,41.9,0.0,296.1,169.1,513.2,229.5,124.7,53.0,0.0,475.8,412.8,306.5,288.5,1266.4,1270.3,1434.9,600.9,742.7,704.2,890.6,558.5,689.7,689.7,927.9,903.6,332.2,374.0,419.4,516.9,610.5,659.2,1009.2,1162.1,1061.0,1115.9,1268.6,1233.0,994.0,234.6,292.1,298.4,842.1,891.6,1003.4,1056.1,1082.3,1006.1,1204.6,1305.1,1406.1,932.8,1467.0,517.8,748.1,803.4,692.9,625.6,840.1,848.6,882.2,919.1,893.1,863.3,960.7,1216.6,1194.8,1336.2,1453.1,1321.0,1503.9,693.5,540.2,496.7,500.8,575.7,502.2,491.0,492.9,1503.9,1668.9,134.8,234.3,210.8,470.1,407.5
1081.5,173.2,429.9,670.6,1100.6,1073.6,920.8,979.7,663.7,525.9,471.6,475.8,179.7,306.7,454.7,659.2,600.4,528.7,475.8,0.0,63.0,248.0,230.0,1481.5,1477.5,1730.0,542.4,684.2,645.8,832.1,585.7,631.2,631.2,869.4,845.1,273.7,315.5,360.9,458.4,552.0,600.7,950.7,1103.6,1356.1,1411.0,2164.7,1528.1,1289.1,529.8,587.3,593.5,1137.2,1186.8,1298.5,1351.2,1377.4,1301.2,1499.7,1593.1,1335.0,1227.9,1280.9,459.3,1043.3,1098.5,988.0,920.7,1135.2,1143.7,1177.3,1214.3,1188.2,1158.5,1255.9,1158.1,1136.3,1277.8,1288.0,1262.5,1237.2,988.6,835.3,791.8,795.9,870.8,76.8,212.9,255.4,1445.4,1610.4,564.5,664.0,640.5,1224.7,1162.1
